threads,time
1.0, 0.030060152 
2.0, 0.015022075 
3.0, 0.010176051 
4.0, 0.007647039 
5.0, 0.006328031 
6.0, 0.005154025 
7.0, 0.004470024 
8.0, 0.003927019 
9.0, 0.003522018 
10.0, 0.003180015 
11.0, 0.002969015 
12.0, 0.002738015 
13.0, 0.002525012 
14.0, 0.002467013 
15.0, 0.00231001 
16.0, 0.002224013 
17.0, 0.00205701 
18.0, 0.00196001 
19.0, 0.001887008 
20.0, 0.00188801 
21.0, 0.001859009 
22.0, 0.001901011 
23.0, 0.00176501 
24.0, 0.001759009 
25.0, 0.001935009 
26.0, 0.002054011 
27.0, 0.00213101 
28.0, 0.00190801 
29.0, 0.002220011 
30.0, 0.002320011 
31.0, 0.002389013 
32.0, 0.002310012 
